"Total","Jahr","Beruf","Geschlecht","Anzahl"
75,"2010","Montage-Elektriker/in","Frauen",0
75,"2010","Montage-Elektriker/in","Männer",75
68,"2010","Konstrukteur/in","Frauen",8
68,"2010","Konstrukteur/in","Männer",60
65,"2010","Maurer/in","Frauen",0
65,"2010","Maurer/in","Männer",65
60,"2010","Hotelfachmann/-frau","Frauen",48
60,"2010","Hotelfachmann/-frau","Männer",12
60,"2010","Maler/in","Frauen",26
60,"2010","Maler/in","Männer",34
57,"2010","Anlehre: INSOS Pra","Frauen",22
57,"2010","Anlehre: INSOS Pra","Männer",35
52,"2010","Elektroniker/in","Frauen",4
52,"2010","Elektroniker/in","Männer",48
49,"2010","Augenoptiker/in","Frauen",39
49,"2010","Augenoptiker/in","Männer",10
47,"2010","Laborant/in","Frauen",27
47,"2010","Laborant/in","Männer",20
45,"2010","Mediamatiker/in","Frauen",19
45,"2010","Mediamatiker/in","Männer",26
41,"2010","Restaurationsfachmann/-frau","Frauen",28
41,"2010","Restaurationsfachmann/-frau","Männer",13
39,"2010","Drogist/in","Frauen",36
39,"2010","Drogist/in","Männer",3
38,"2010","Bäcker/in-Konditor/in-Confiseur/in","Frauen",30
38,"2010","Bäcker/in-Konditor/in-Confiseur/in","Männer",8
37,"2010","Elektroplaner/in","Frauen",6
37,"2010","Elektroplaner/in","Männer",31
34,"2010","Heizungsinstallateur/in","Frauen",0
34,"2010","Heizungsinstallateur/in","Männer",34
33,"2010","Metallbauer/in","Frauen",0
33,"2010","Metallbauer/in","Männer",33
33,"2010","Produktionsmechaniker/in","Frauen",1
33,"2010","Produktionsmechaniker/in","Männer",32
30,"2010","Florist/in","Frauen",29
30,"2010","Florist/in","Männer",1
29,"2010","Landwirt/in","Frauen",7
29,"2010","Landwirt/in","Männer",22
27,"2010","Forstwart/in","Frauen",2
27,"2010","Forstwart/in","Männer",25
26,"2010","Gebäudetechnikplaner/in","Frauen",6
26,"2010","Gebäudetechnikplaner/in","Männer",20
24,"2010","Carrossier/in Lackiererei","Frauen",0
24,"2010","Carrossier/in Lackiererei","Männer",24
24,"2010","Tiermed. Praxisassistent/in","Frauen",21
24,"2010","Tiermed. Praxisassistent/in","Männer",3
21,"2010","Fachmann/-frau Kundendialog","Frauen",11
21,"2010","Fachmann/-frau Kundendialog","Männer",10
21,"2010","Landmaschinenmechaniker/in","Frauen",2
21,"2010","Landmaschinenmechaniker/in","Männer",19
20,"2010","Geomatiker/in","Frauen",8
20,"2010","Geomatiker/in","Männer",12
19,"2010","Coiffeur/-euse","Frauen",13
19,"2010","Coiffeur/-euse","Männer",6
19,"2010","Fachmann/Fachfrau Hauswirtschaft","Frauen",19
19,"2010","Fachmann/Fachfrau Hauswirtschaft","Männer",0
18,"2010","Automobil-Assistent/in","Frauen",0
18,"2010","Automobil-Assistent/in","Männer",18
18,"2010","Logistiker/in","Frauen",0
18,"2010","Logistiker/in","Männer",18
18,"2010","Netzelektriker/in","Frauen",0
18,"2010","Netzelektriker/in","Männer",18
18,"2010","Reifenpraktiker/in","Frauen",0
18,"2010","Reifenpraktiker/in","Männer",18
17,"2010","Büroassistent/in","Frauen",9
17,"2010","Büroassistent/in","Männer",8
17,"2010","Gebäudetechnikplaner/in","Frauen",1
17,"2010","Gebäudetechnikplaner/in","Männer",16
16,"2010","Gestalter/in Werbetechnik","Frauen",8
16,"2010","Gestalter/in Werbetechnik","Männer",8
16,"2010","Hauswirtschaftspraktiker/in","Frauen",13
16,"2010","Hauswirtschaftspraktiker/in","Männer",3
15,"2010","Drucktechnologe/-login","Frauen",7
15,"2010","Drucktechnologe/-login","Männer",8
15,"2010","Polygraf/in","Frauen",8
15,"2010","Polygraf/in","Männer",7
15,"2010","Strassentransportfachmann/-frau","Frauen",4
15,"2010","Strassentransportfachmann/-frau","Männer",11
14,"2010","Anlagen- und Apparatebauer/in","Frauen",0
14,"2010","Anlagen- und Apparatebauer/in","Männer",14
14,"2010","Fachmann/-frau Bewegungs-u.Ges.heitsförderung","Frauen",8
14,"2010","Fachmann/-frau Bewegungs-u.Ges.heitsförderung","Männer",6
14,"2010","Fachmann/-frau öffentlicher Verkehr","Frauen",6
14,"2010","Fachmann/-frau öffentlicher Verkehr","Männer",8
14,"2010","Haustechnikpraktiker/in","Frauen",0
14,"2010","Haustechnikpraktiker/in","Männer",14
14,"2010","Lebensmitteltechnologe/-login","Frauen",3
14,"2010","Lebensmitteltechnologe/-login","Männer",11
14,"2010","Spengler/in","Frauen",1
14,"2010","Spengler/in","Männer",13
13,"2010","Carrossier/in Spenglerei","Frauen",1
13,"2010","Carrossier/in Spenglerei","Männer",12
13,"2010","Kosmetiker/in","Frauen",12
13,"2010","Kosmetiker/in","Männer",1
12,"2010","Automatikmonteur/in","Frauen",2
12,"2010","Automatikmonteur/in","Männer",10
12,"2010","Bekleidungsgestalter/in","Frauen",11
12,"2010","Bekleidungsgestalter/in","Männer",1
12,"2010","Schreinerpraktiker/in","Frauen",1
12,"2010","Schreinerpraktiker/in","Männer",11
12,"2010","Strassenbauer/in","Frauen",0
12,"2010","Strassenbauer/in","Männer",12
11,"2010","Baumaschinenmechaniker/in","Frauen",0
11,"2010","Baumaschinenmechaniker/in","Männer",11
11,"2010","Fahrradmechaniker/-in","Frauen",4
11,"2010","Fahrradmechaniker/-in","Männer",7
11,"2010","Fotofachmann/-frau","Frauen",4
11,"2010","Fotofachmann/-frau","Männer",7
11,"2010","Gärtner/-in","Frauen",1
11,"2010","Gärtner/-in","Männer",10
11,"2010","Hotel-Kommunikationsfachmann/-frau","Frauen",7
11,"2010","Hotel-Kommunikationsfachmann/-frau","Männer",4
11,"2010","Malerpraktiker/in","Frauen",2
11,"2010","Malerpraktiker/in","Männer",9
11,"2010","Unterhaltspraktiker/in","Frauen",3
11,"2010","Unterhaltspraktiker/in","Männer",8
10,"2010","Baupraktiker/in","Frauen",0
10,"2010","Baupraktiker/in","Männer",10
10,"2010","Fachmann/-frau Information u. Dokumentation","Frauen",9
10,"2010","Fachmann/-frau Information u. Dokumentation","Männer",1
10,"2010","Küchenangestellte/r","Frauen",3
10,"2010","Küchenangestellte/r","Männer",7
9,"2010","Bäcker/in-Konditor/in-Confiseur/in","Frauen",3
9,"2010","Bäcker/in-Konditor/in-Confiseur/in","Männer",6
9,"2010","Fleischfachmann/-frau","Frauen",2
9,"2010","Fleischfachmann/-frau","Männer",7
9,"2010","Lüftungsanlagenbauer/in","Frauen",0
9,"2010","Lüftungsanlagenbauer/in","Männer",9
9,"2010","Systemgastronomiefachmann/-frau","Frauen",5
9,"2010","Systemgastronomiefachmann/-frau","Männer",4
8,"2010","Boden-Parkettleger/in","Frauen",1
8,"2010","Boden-Parkettleger/in","Männer",7
8,"2010","Gebäudetechnikplaner/in","Frauen",2
8,"2010","Gebäudetechnikplaner/in","Männer",6
8,"2010","Kunststofftechnologe/-login","Frauen",5
8,"2010","Kunststofftechnologe/-login","Männer",3
8,"2010","Motorradmechaniker/in","Frauen",0
8,"2010","Motorradmechaniker/in","Männer",8
8,"2010","Multimediaelektroniker/in","Frauen",0
8,"2010","Multimediaelektroniker/in","Männer",8
8,"2010","Pferdefachmann/-frau","Frauen",8
8,"2010","Pferdefachmann/-frau","Männer",0
8,"2010","Restaurationsangestellte/r","Frauen",5
8,"2010","Restaurationsangestellte/r","Männer",3
8,"2010","Tierpfleger/in","Frauen",6
8,"2010","Tierpfleger/in","Männer",2
8,"2010","Zahntechniker/in","Frauen",6
8,"2010","Zahntechniker/in","Männer",2
7,"2010","Gipser/in und Maler/in","Frauen",1
7,"2010","Gipser/in und Maler/in","Männer",6
7,"2010","Gleisbauer/in","Frauen",0
7,"2010","Gleisbauer/in","Männer",7
7,"2010","Hotellerieangestellte/r","Frauen",6
7,"2010","Hotellerieangestellte/r","Männer",1
7,"2010","Metallbaupraktiker/in","Frauen",1
7,"2010","Metallbaupraktiker/in","Männer",6
7,"2010","Plattenleger/in","Frauen",0
7,"2010","Plattenleger/in","Männer",7
6,"2010","Buchhändler/in","Frauen",5
6,"2010","Buchhändler/in","Männer",1
6,"2010","Polydesigner/in 3D","Frauen",6
6,"2010","Polydesigner/in 3D","Männer",0
5,"2010","Chemie- und Pharmatechnologe/-login","Frauen",1
5,"2010","Chemie- und Pharmatechnologe/-login","Männer",4
5,"2010","Gebäudereiniger/in","Frauen",0
5,"2010","Gebäudereiniger/in","Männer",5
5,"2010","Kältesystem-Monteur/-in","Frauen",0
5,"2010","Kältesystem-Monteur/-in","Männer",5
5,"2010","Kaminfeger/in","Frauen",0
5,"2010","Kaminfeger/in","Männer",5
5,"2010","Mechanikpraktiker/in","Frauen",0
5,"2010","Mechanikpraktiker/in","Männer",5
5,"2010","Physiklaborant/in","Frauen",0
5,"2010","Physiklaborant/in","Männer",5
5,"2010","Recyclist/in","Frauen",0
5,"2010","Recyclist/in","Männer",5
5,"2010","Veranstaltungsfachmann/-frau","Frauen",3
5,"2010","Veranstaltungsfachmann/-frau","Männer",2
4,"2010","Metallbaukonstrukteur/in","Frauen",0
4,"2010","Metallbaukonstrukteur/in","Männer",4
4,"2010","Milchtechnologe/-login","Frauen",0
4,"2010","Milchtechnologe/-login","Männer",4
4,"2010","Ofenbauer/in","Frauen",0
4,"2010","Ofenbauer/in","Männer",4
4,"2010","Printmedienverarbeiter/in","Frauen",3
4,"2010","Printmedienverarbeiter/in","Männer",1
4,"2010","Storenmonteur/in","Frauen",0
4,"2010","Storenmonteur/in","Männer",4
3,"2010","Abdichter/in","Frauen",0
3,"2010","Abdichter/in","Männer",3
3,"2010","Anlagenführer/in","Frauen",0
3,"2010","Anlagenführer/in","Männer",3
3,"2010","Bühnentänzer/in","Frauen",1
3,"2010","Bühnentänzer/in","Männer",2
3,"2010","Coiffeur/-euse","Frauen",3
3,"2010","Coiffeur/-euse","Männer",0
3,"2010","Entwässerungstechnologe/-technologin","Frauen",0
3,"2010","Entwässerungstechnologe/-technologin","Männer",3
3,"2010","Fahrzeugschlosser/in","Frauen",0
3,"2010","Fahrzeugschlosser/in","Männer",3
3,"2010","Gemüsegärtner/in","Frauen",0
3,"2010","Gemüsegärtner/in","Männer",3
3,"2010","Glaser/in","Frauen",0
3,"2010","Glaser/in","Männer",3
3,"2010","Holzbearbeiter/in","Frauen",0
3,"2010","Holzbearbeiter/in","Männer",3
3,"2010","Interactive Media Designer","Frauen",1
3,"2010","Interactive Media Designer","Männer",2
3,"2010","Motorgerätemechaniker/in","Frauen",0
3,"2010","Motorgerätemechaniker/in","Männer",3
3,"2010","Orthopädist/in","Frauen",2
3,"2010","Orthopädist/in","Männer",1
3,"2010","Strassentransportpraktiker/in","Frauen",0
3,"2010","Strassentransportpraktiker/in","Männer",3
3,"2010","Tänzer/in","Frauen",3
3,"2010","Tänzer/in","Männer",0
3,"2010","Uhrmacher/in","Frauen",1
3,"2010","Uhrmacher/in","Männer",2
2,"2010","Architekturmodellbauer/in","Frauen",1
2,"2010","Architekturmodellbauer/in","Männer",1
2,"2010","Dachdecker/in","Frauen",0
2,"2010","Dachdecker/in","Männer",2
2,"2010","Dachdeckerpraktiker/in","Frauen",0
2,"2010","Dachdeckerpraktiker/in","Männer",2
2,"2010","Fachmann/-frau Leder und Textil","Frauen",1
2,"2010","Fachmann/-frau Leder und Textil","Männer",1
2,"2010","Fachmann/-frau Textilpflege","Frauen",2
2,"2010","Fachmann/-frau Textilpflege","Männer",0
2,"2010","Formenbauer/in","Frauen",0
2,"2010","Formenbauer/in","Männer",2
2,"2010","Fotograf/in","Frauen",0
2,"2010","Fotograf/in","Männer",2
2,"2010","Gebäudereiniger/in","Frauen",0
2,"2010","Gebäudereiniger/in","Männer",2
2,"2010","Gleisbaupraktiker/in","Frauen",0
2,"2010","Gleisbaupraktiker/in","Männer",2
2,"2010","Goldschmied/in","Frauen",2
2,"2010","Goldschmied/in","Männer",0
2,"2010","Hörsystemakustiker/in","Frauen",1
2,"2010","Hörsystemakustiker/in","Männer",1
2,"2010","Industrie- und Unterlagsbodenbauer/in","Frauen",0
2,"2010","Industrie- und Unterlagsbodenbauer/in","Männer",2
2,"2010","Innendekorateur/in","Frauen",2
2,"2010","Innendekorateur/in","Männer",0
2,"2010","Kältesystem-Planer/in","Frauen",0
2,"2010","Kältesystem-Planer/in","Männer",2
2,"2010","Kleinmotorrad- u Fahrradmechaniker/in","Frauen",0
2,"2010","Kleinmotorrad- u Fahrradmechaniker/in","Männer",2
2,"2010","Lackierassisten/in","Frauen",0
2,"2010","Lackierassisten/in","Männer",2
2,"2010","Musikinstrumentenbauer/in","Frauen",2
2,"2010","Musikinstrumentenbauer/in","Männer",0
2,"2010","Plattenlegerpraktiker/in","Frauen",0
2,"2010","Plattenlegerpraktiker/in","Männer",2
2,"2010","Podologe/-login","Frauen",1
2,"2010","Podologe/-login","Männer",1
2,"2010","Strassenbaupraktiker/in","Frauen",0
2,"2010","Strassenbaupraktiker/in","Männer",2
2,"2010","Telematiker/in","Frauen",0
2,"2010","Telematiker/in","Männer",2
2,"2010","Verpackungstechnologe/-login","Frauen",0
2,"2010","Verpackungstechnologe/-login","Männer",2
1,"2010","Agrarpraktiker/in","Frauen",0
1,"2010","Agrarpraktiker/in","Männer",1
1,"2010","Bauwerktrenner/in","Frauen",0
1,"2010","Bauwerktrenner/in","Männer",1
1,"2010","Bekleidungsnäher/in","Frauen",1
1,"2010","Bekleidungsnäher/in","Männer",0
1,"2010","Betonwerker/in","Frauen",0
1,"2010","Betonwerker/in","Männer",1
1,"2010","Bootbauer/in","Frauen",0
1,"2010","Bootbauer/in","Männer",1
1,"2010","Diätkoch/-köchin","Frauen",0
1,"2010","Diätkoch/-köchin","Männer",1
1,"2010","Fleischfachassistent/in","Frauen",0
1,"2010","Fleischfachassistent/in","Männer",1
1,"2010","Flexodrucker/in","Frauen",0
1,"2010","Flexodrucker/in","Männer",1
1,"2010","Florist/in","Frauen",1
1,"2010","Florist/in","Männer",0
1,"2010","Gerüstbauer/in","Frauen",0
1,"2010","Gerüstbauer/in","Männer",1
1,"2010","Gipser/in-Trockenbauer/in","Frauen",0
1,"2010","Gipser/in-Trockenbauer/in","Männer",1
1,"2010","Gipserpraktiker/in","Frauen",0
1,"2010","Gipserpraktiker/in","Männer",1
1,"2010","Glasapparatebauer/in","Frauen",1
1,"2010","Glasapparatebauer/in","Männer",0
1,"2010","Grafiker/in","Frauen",1
1,"2010","Grafiker/in","Männer",0
1,"2010","Grundbaupraktiker/in","Frauen",0
1,"2010","Grundbaupraktiker/in","Männer",1
1,"2010","Industrie- und Unterlagsbodenbauer/in","Frauen",0
1,"2010","Industrie- und Unterlagsbodenbauer/in","Männer",1
1,"2010","Industrielackierer/in","Frauen",0
1,"2010","Industrielackierer/in","Männer",1
1,"2010","Isolierspengler/in","Frauen",0
1,"2010","Isolierspengler/in","Männer",1
1,"2010","Kältemontage-Praktiker/in","Frauen",0
1,"2010","Kältemontage-Praktiker/in","Männer",1
1,"2010","Milchpraktiker/in","Frauen",0
1,"2010","Milchpraktiker/in","Männer",1
1,"2010","Oberflächenbeschichter/in","Frauen",0
1,"2010","Oberflächenbeschichter/in","Männer",1
1,"2010","Oberflächenpraktiker/in","Frauen",0
1,"2010","Oberflächenpraktiker/in","Männer",1
1,"2010","Orthopädie-Schuhmacher/in","Frauen",0
1,"2010","Orthopädie-Schuhmacher/in","Männer",1
1,"2010","Pferdewart/in","Frauen",1
1,"2010","Pferdewart/in","Männer",0
1,"2010","Säger/in Holzindustrie","Frauen",0
1,"2010","Säger/in Holzindustrie","Männer",1
1,"2010","Seilbahner/in","Frauen",0
1,"2010","Seilbahner/in","Männer",1
1,"2010","Steinmetz/in","Frauen",0
1,"2010","Steinmetz/in","Männer",1
1,"2010","Weintechnologe/-login","Frauen",0
1,"2010","Weintechnologe/-login","Männer",1
1,"2010","Winzer/in","Frauen",0
1,"2010","Winzer/in","Männer",1
1,"2010","Wohntextilgestalter/in","Frauen",1
1,"2010","Wohntextilgestalter/in","Männer",0
7707,"2011","Total","Frauen",3552
7707,"2011","Total","Männer",4155
1301,"2011","Kaufmann/-frau","Frauen",784
1301,"2011","Kaufmann/-frau","Männer",517
520,"2011","Detailhandelsfachmann/-frau","Frauen",262
520,"2011","Detailhandelsfachmann/-frau","Männer",258
488,"2011","Fachmann/-frau Gesundheit","Frauen",419
488,"2011","Fachmann/-frau Gesundheit","Männer",69
401,"2011","Fachmann/-frau Betreuung","Frauen",348
401,"2011","Fachmann/-frau Betreuung","Männer",53
344,"2011","Kaufmann/-frau","Frauen",190
344,"2011","Kaufmann/-frau","Männer",154
292,"2011","Informatiker/in","Frauen",34
292,"2011","Informatiker/in","Männer",258
290,"2011","Elektroinstallateur/in","Frauen",2
290,"2011","Elektroinstallateur/in","Männer",288
190,"2011","Polymechaniker/in","Frauen",9
190,"2011","Polymechaniker/in","Männer",181
186,"2011","Zeichner/in","Frauen",85
186,"2011","Zeichner/in","Männer",101
175,"2011","Logistiker/in","Frauen",13
175,"2011","Logistiker/in","Männer",162
173,"2011","Dentalassistent/in","Frauen",171
173,"2011","Dentalassistent/in","Männer",2
165,"2011","Medizinische/r Praxisassistent/in","Frauen",163
165,"2011","Medizinische/r Praxisassistent/in","Männer",2
156,"2011","Koch/Köchin","Frauen",53
156,"2011","Koch/Köchin","Männer",103
140,"2011","Pharma-Assistent/in","Frauen",135
140,"2011","Pharma-Assistent/in","Männer",5
131,"2011","Automobil-Fachmann/-frau","Frauen",5
131,"2011","Automobil-Fachmann/-frau","Männer",126
129,"2011","Detailhandelsassistent/in","Frauen",70
129,"2011","Detailhandelsassistent/in","Männer",59
124,"2011","Schreiner/in","Frauen",15
124,"2011","Schreiner/in","Männer",109
112,"2011","Fachmann/-frau Betriebsunterhalt","Frauen",1
112,"2011","Fachmann/-frau Betriebsunterhalt","Männer",111
90,"2011","Coiffeur/-euse","Frauen",79
90,"2011","Coiffeur/-euse","Männer",11
87,"2011","Zimmermann/Zimmerin","Frauen",2
87,"2011","Zimmermann/Zimmerin","Männer",85
82,"2011","Automatiker/in","Frauen",4
82,"2011","Automatiker/in","Männer",78
81,"2011","Gärtner/-in","Frauen",16
81,"2011","Gärtner/-in","Männer",65
74,"2011","Assistent/in Gesundheit und Soziales","Frauen",63
74,"2011","Assistent/in Gesundheit und Soziales","Männer",11
73,"2011","Konstrukteur/in","Frauen",11
73,"2011","Konstrukteur/in","Männer",62
69,"2011","Hotelfachmann/-frau","Frauen",52
69,"2011","Hotelfachmann/-frau","Männer",17
66,"2011","Maurer/in","Frauen",1
66,"2011","Maurer/in","Männer",65
65,"2011","Automobil-Mechatroniker/in","Frauen",0
65,"2011","Automobil-Mechatroniker/in","Männer",65
62,"2011","Sanitärinstallateur/in","Frauen",0
62,"2011","Sanitärinstallateur/in","Männer",62
61,"2011","Maler/in","Frauen",34
61,"2011","Maler/in","Männer",27
60,"2011","Montage-Elektriker/in","Frauen",0
60,"2011","Montage-Elektriker/in","Männer",60
52,"2011","Elektroniker/in","Frauen",2
52,"2011","Elektroniker/in","Männer",50
52,"2011","Heizungsinstallateur/in","Frauen",0
52,"2011","Heizungsinstallateur/in","Männer",52
44,"2011","Mediamatiker/in","Frauen",20
44,"2011","Mediamatiker/in","Männer",24
42,"2011","Bäcker/in-Konditor/in-Confiseur/in","Frauen",28
42,"2011","Bäcker/in-Konditor/in-Confiseur/in","Männer",14
42,"2011","Restaurationsfachmann/-frau","Frauen",29
42,"2011","Restaurationsfachmann/-frau","Männer",13
40,"2011","Laborant/in","Frauen",20
40,"2011","Laborant/in","Männer",20
39,"2011","Augenoptiker/in","Frauen",30
39,"2011","Augenoptiker/in","Männer",9
37,"2011","Produktionsmechaniker/in","Frauen",1
37,"2011","Produktionsmechaniker/in","Männer",36
32,"2011","Landmaschinenmechaniker/in","Frauen",1
32,"2011","Landmaschinenmechaniker/in","Männer",31
31,"2011","Metallbauer/in","Frauen",4
31,"2011","Metallbauer/in","Männer",27
30,"2011","Drogist/in","Frauen",28
30,"2011","Drogist/in","Männer",2
28,"2011","Florist/in","Frauen",28
28,"2011","Florist/in","Männer",0
27,"2011","Tiermed. Praxisassistent/in","Frauen",25
27,"2011","Tiermed. Praxisassistent/in","Männer",2
26,"2011","Elektroplaner/in","Frauen",3
26,"2011","Elektroplaner/in","Männer",23
26,"2011","Fachmann/-frau Kundendialog","Frauen",19
26,"2011","Fachmann/-frau Kundendialog","Männer",7
23,"2011","Bekleidungsgestalter/in","Frauen",19
23,"2011","Bekleidungsgestalter/in","Männer",4
23,"2011","Fachmann/Fachfrau Hauswirtschaft","Frauen",23
23,"2011","Fachmann/Fachfrau Hauswirtschaft","Männer",0
23,"2011","Haustechnikpraktiker/in","Frauen",0
23,"2011","Haustechnikpraktiker/in","Männer",23
22,"2011","Gestalter/in Werbetechnik","Frauen",15
22,"2011","Gestalter/in Werbetechnik","Männer",7
21,"2011","Carrossier/in Lackiererei","Frauen",5
21,"2011","Carrossier/in Lackiererei","Männer",16
21,"2011","Carrossier/in Spenglerei","Frauen",0
21,"2011","Carrossier/in Spenglerei","Männer",21
21,"2011","Logistiker/in","Frauen",0
21,"2011","Logistiker/in","Männer",21
20,"2011","Büroassistent/in","Frauen",11
20,"2011","Büroassistent/in","Männer",9
20,"2011","Fachmann/-frau Bewegungs-u.Ges.heitsförderung","Frauen",10
20,"2011","Fachmann/-frau Bewegungs-u.Ges.heitsförderung","Männer",10
20,"2011","Gebäudetechnikplaner/in","Frauen",5
20,"2011","Gebäudetechnikplaner/in","Männer",15
20,"2011","Hauswirtschaftspraktiker/in","Frauen",15
20,"2011","Hauswirtschaftspraktiker/in","Männer",5
20,"2011","Landwirt/in","Frauen",7
20,"2011","Landwirt/in","Männer",13
19,"2011","Automatikmonteur/in","Frauen",0
19,"2011","Automatikmonteur/in","Männer",19
19,"2011","Coiffeur/-euse","Frauen",14
19,"2011","Coiffeur/-euse","Männer",5
19,"2011","Gebäudetechnikplaner/in","Frauen",2
19,"2011","Gebäudetechnikplaner/in","Männer",17
18,"2011","Anlagen- und Apparatebauer/in","Frauen",0
18,"2011","Anlagen- und Apparatebauer/in","Männer",18
18,"2011","Automobil-Assistent/in","Frauen",0
18,"2011","Automobil-Assistent/in","Männer",18
18,"2011","Geomatiker/in","Frauen",2
18,"2011","Geomatiker/in","Männer",16
18,"2011","Strassenbauer/in","Frauen",0
18,"2011","Strassenbauer/in","Männer",18
17,"2011","Polygraf/in","Frauen",10
17,"2011","Polygraf/in","Männer",7
17,"2011","Spengler/in","Frauen",0
17,"2011","Spengler/in","Männer",17
16,"2011","Drucktechnologe/-login","Frauen",3
16,"2011","Drucktechnologe/-login","Männer",13
16,"2011","Forstwart/in","Frauen",0
16,"2011","Forstwart/in","Männer",16
15,"2011","Küchenangestellte/r","Frauen",3
15,"2011","Küchenangestellte/r","Männer",12
15,"2011","Reifenpraktiker/in","Frauen",0
15,"2011","Reifenpraktiker/in","Männer",15
14,"2011","Kosmetiker/in","Frauen",13
14,"2011","Kosmetiker/in","Männer",1
14,"2011","Schreinerpraktiker/in","Frauen",1
14,"2011","Schreinerpraktiker/in","Männer",13
12,"2011","Baumaschinenmechaniker/in","Frauen",0
12,"2011","Baumaschinenmechaniker/in","Männer",12
12,"2011","Fachmann/-frau öffentlicher Verkehr","Frauen",3
12,"2011","Fachmann/-frau öffentlicher Verkehr","Männer",9
12,"2011","Fahrradmechaniker/-in","Frauen",3
12,"2011","Fahrradmechaniker/-in","Männer",9
12,"2011","Gebäudetechnikplaner/in","Frauen",4
12,"2011","Gebäudetechnikplaner/in","Männer",8
12,"2011","Lebensmitteltechnologe/-login","Frauen",5
12,"2011","Lebensmitteltechnologe/-login","Männer",7
12,"2011","Netzelektriker/in","Frauen",0
12,"2011","Netzelektriker/in","Männer",12
11,"2011","Fotofachmann/-frau","Frauen",5
11,"2011","Fotofachmann/-frau","Männer",6
10,"2011","Strassentransportfachmann/-frau","Frauen",2
10,"2011","Strassentransportfachmann/-frau","Männer",8
9,"2011","Fachmann/-frau Information u. Dokumentation","Frauen",7
9,"2011","Fachmann/-frau Information u. Dokumentation","Männer",2
9,"2011","Gärtner/-in","Frauen",0
9,"2011","Gärtner/-in","Männer",9
9,"2011","Hotel-Kommunikationsfachmann/-frau","Frauen",6
9,"2011","Hotel-Kommunikationsfachmann/-frau","Männer",3
9,"2011","Informatikpraktiker/in","Frauen",0
9,"2011","Informatikpraktiker/in","Männer",9
9,"2011","Innendekorateur/in","Frauen",7
9,"2011","Innendekorateur/in","Männer",2
9,"2011","Malerpraktiker/in","Frauen",0
9,"2011","Malerpraktiker/in","Männer",9
9,"2011","Metallbaukonstrukteur/in","Frauen",1
9,"2011","Metallbaukonstrukteur/in","Männer",8
9,"2011","Restaurationsangestellte/r","Frauen",6
9,"2011","Restaurationsangestellte/r","Männer",3
8,"2011","Multimediaelektroniker/in","Frauen",0
8,"2011","Multimediaelektroniker/in","Männer",8
8,"2011","Polydesigner/in 3D","Frauen",7
8,"2011","Polydesigner/in 3D","Männer",1
8,"2011","Systemgastronomiefachmann/-frau","Frauen",6
8,"2011","Systemgastronomiefachmann/-frau","Männer",2
